description,education,stat
Non-Tech Workers,No certificate,26000
Non-Tech Workers,High school diploma,34100
Non-Tech Workers,Apprenticeship or trade diploma,47600
Non-Tech Workers,College or CEGEP,45600
Non-Tech Workers,University diploma,46200
Non-Tech Workers,Bachelor or above,66800
Tech Workers,No certificate,64600
Tech Workers,High school diploma,58600
Tech Workers,Apprenticeship or trade diploma,61500
Tech Workers,College or CEGEP,74600
Tech Workers,University diploma,74600
Tech Workers,Bachelor or above,95600
