Education,Sector,stat,Education_FR,Sector_FR
No certificate,Nonprofit,1,Aucun certificat,Organisme à but non lucratif
High school diploma,Nonprofit,12,Diplôme d’études secondaires,Organisme à but non lucratif
Apprenticeship or trade diploma,Nonprofit,1,Diplôme d’apprenti(e) ou d’une école de métiers,Organisme à but non lucratif
College or CEGEP,Nonprofit,23,Diplôme d’études collégiales ou DEC,Organisme à but non lucratif
University diploma,Nonprofit,4,Diplôme d’études universitaires,Organisme à but non lucratif
Bachelor or above,Nonprofit,59,Baccalauréat ou grade supérieur,Organisme à but non lucratif
No certificate,Other,1,Aucun certificat,Autre
High school diploma,Other,10,Diplôme d’études secondaires,Autre
Apprenticeship or trade diploma,Other,2,Diplôme d’apprenti(e) ou d’une école de métiers,Autre
College or CEGEP,Other,18,Diplôme d’études collégiales ou DEC,Autre
University diploma,Other,3,Diplôme d’études universitaires,Autre
Bachelor or above,Other,66,Baccalauréat ou grade supérieur,Autre
